relative_path,extension,size_bytes,reachable,depth,is_entry,is_grain,included_by_count,includes_count
"coreLib/IEEE754_FloatConversion_inl.h",.h,7762,True,5,False,False,1,0
"coreLib/ILogBackend.h",.h,2696,False,-1,False,False,0,0
"coreLib/IPI_core.h",.h,9797,True,4,False,False,3,0
"coreLib/IPRStorage_CBox.h",.h,16127,False,-1,False,False,0,1
"coreLib/IPRStorage_Core.h",.h,370,False,-1,False,False,0,0
"coreLib/IPRStorage_Core_New.h",.h,10270,False,-1,False,False,0,2
"coreLib/IPRStorage_Hot_osf.h",.h,1875,False,-1,False,False,0,0
"coreLib/IPR_IC_FLUSH_inl.h",.h,3350,False,-1,False,False,0,3
"coreLib/IPR_core.h",.h,3039,True,6,False,False,1,2
"coreLib/IRQAstandSCBHelpers.h",.h,9759,True,6,False,False,1,2
"coreLib/IRQPendingState.h",.h,14222,True,6,False,False,2,1
"coreLib/IRQ_SourceId_core.h",.h,6411,True,7,False,False,4,0
"coreLib/InitPhaseLogging.h",.h,2056,True,3,False,False,1,1
"coreLib/InterruptRouter.h",.h,17720,True,6,False,False,3,2
"coreLib/IprStorage_Hot.h",.h,5246,False,-1,False,False,1,4
"coreLib/IprStorage_IBox.h",.h,6974,False,-1,False,False,0,0
"coreLib/Ipr_Shift_Helpers.h",.h,2726,False,-1,False,False,1,0
"coreLib/Ipr_getActiveSP_inl.h",.h,518,False,-1,False,False,0,0
"coreLib/LoggingBackend.h",.h,8679,False,-1,False,False,0,2
"coreLib/LoggingHelpers.h",.h,1054,False,-1,False,False,0,0
"coreLib/LoggingMacros.h",.h,2444,True,1,False,False,53,1
"coreLib/MCES_helpers.h",.h,6860,True,5,False,False,1,1
"coreLib/Masked_ASTSR_inl.h",.h,3260,False,-1,False,False,0,5
"coreLib/Masked_EXC_SUM_inl.h",.h,20738,False,-1,False,False,0,2
"coreLib/Masked_HW_INT_CLR_inl.h",.h,13253,False,-1,False,False,0,2
"coreLib/Masked_IER_CM_inl.h",.h,12340,False,-1,False,False,0,2
"coreLib/Masked_ISUM_inl.h",.h,11607,False,-1,False,False,1,4
"coreLib/Masked_I_CTL_inl.h",.h,20138,False,-1,False,False,0,2
"coreLib/Masked_I_STAT_inl.h",.h,12103,False,-1,False,False,0,2
"coreLib/Masked_PAL_BASE_inl.h",.h,13238,False,-1,False,False,0,1
"coreLib/Masked_PCBB_inl.h",.h,3407,False,-1,False,False,0,2
"coreLib/Masked_PCTX_inl.h",.h,500,False,-1,False,False,0,0
"coreLib/Masked_SIRR_inl.h",.h,11560,False,-1,False,False,0,1
"coreLib/Masked_WHAMI_inl.h",.h,2410,False,-1,False,False,0,2
"coreLib/MemoryBarrierKind_enum.h",.h,2146,True,5,False,False,2,0
"coreLib/MemoryExecutionContext.h",.h,835,False,-1,False,False,1,1
"coreLib/MemoryExecutionContext_impl.h",.h,162,False,-1,False,False,0,1
"coreLib/PCTX_helpers.h",.h,5065,False,-1,False,False,0,1
"coreLib/PS_helpers_inl.h",.h,5710,True,5,False,False,3,0
"coreLib/QtRandomCompat.h",.h,786,False,-1,False,False,0,0
"coreLib/TraceConvert.h",.h,345,False,-1,False,False,0,0
"coreLib/TraceHelpers.h",.h,5682,False,-1,False,False,1,1
"coreLib/TrapsAndFaults_inl_helpers.h",.h,1521,True,6,False,False,2,0
"coreLib/VA_core.h",.h,11028,True,5,False,False,6,6
"coreLib/VA_types.h",.h,1917,True,5,False,False,9,0
"coreLib/WriteBufferEntry.h",.h,1862,True,4,False,False,2,1
"coreLib/alpha_SSE_fp_inl.h",.h,11614,False,-1,False,False,0,1
"coreLib/alpha_SSE_int_inl.h",.h,2172,False,-1,False,False,0,1
"coreLib/alpha_alu_inl.h",.h,6838,True,5,False,False,1,0
"coreLib/alpha_fp_helpers_inl.h",.h,24303,True,5,False,False,3,4
"coreLib/alpha_fp_ieee_inl.h",.h,12142,True,5,False,False,2,3
"coreLib/alpha_fpcr_core.h",.h,4409,True,5,False,False,8,0
"coreLib/alpha_int_byteops_inl.h",.h,13399,True,5,False,False,2,1
"coreLib/alpha_int_helpers_inl.h",.h,10026,True,5,False,False,1,0
"coreLib/alpha_operate_opcode_helper.h",.h,2723,False,-1,False,False,0,1
"coreLib/arithExtender_helpers.h",.h,2327,False,-1,False,False,1,0
"coreLib/assyFormat_inl.h",.h,3588,False,-1,False,False,0,0
"coreLib/astEligibility_inl.h",.h,4212,True,6,False,False,1,0
"coreLib/barrier_hooks_core.h",.h,469,False,-1,False,False,1,0
"coreLib/cboxCSRState.h",.h,15208,False,-1,False,False,0,1
"coreLib/coherency_inline_helpers.h",.h,200,False,-1,False,False,0,0
"coreLib/converter_helpers.h",.h,823,False,-1,False,False,0,1
"coreLib/coreLib_core.h",.h,6249,True,7,False,False,3,0
"coreLib/coreLib_global.h",.h,236,False,-1,False,False,0,0
"coreLib/cpu_struct_inline.h",.h,232,False,-1,False,False,0,0
"coreLib/define_helpers.h",.h,11435,False,-1,False,False,3,0
"coreLib/device_core.h",.h,9782,False,-1,False,False,0,2
"coreLib/enum_MCES.h",.h,2388,True,5,False,False,5,0
"coreLib/enum_Reasons.h",.h,5208,False,-1,False,False,1,0
"coreLib/enum_TLB.h",.h,276,False,-1,False,False,0,0
"coreLib/enum_header.h",.h,4133,True,4,False,False,13,0
"coreLib/fp_variant_core.h",.h,28135,True,5,False,False,5,4
"coreLib/globalCPUCount.h",.h,605,True,3,False,False,1,1
"coreLib/global_IPRStorage_hot_osf.h",.h,1107,False,-1,False,False,0,1
"coreLib/global_RegisterMaster_hot.h",.h,57966,True,5,False,False,5,4
"coreLib/global_cBoxState.h",.h,15572,True,5,False,False,1,2
"coreLib/info_inl_helpers.h",.h,4439,False,-1,False,False,0,2
"coreLib/ipr_AST_mask_semantics.h",.h,1332,False,-1,False,False,0,1
"coreLib/ipr_masked/IBox/MTPR_NOOP/pseudo_CLR_MAP_inl.h",.h,15293,False,-1,False,False,0,4
"coreLib/ipr_masked/IBox/MTPR_NOOP/pseudo_IC_FLUSH_inl.h",.h,12360,False,-1,False,False,0,2
"coreLib/ipr_masked/IBox/MTPR_NOOP/pseudo_SLEEP_inl.h",.h,122,False,-1,False,False,0,0
"coreLib/memory_enums_structs.h",.h,6589,True,5,False,False,3,0
"coreLib/mfpr_constExpr_inl.h",.h,2804,False,-1,False,False,0,0
"coreLib/mmio_core.h",.h,14384,False,-1,False,False,9,0
"coreLib/mmio_structs.h",.h,1942,False,-1,False,False,1,2
"coreLib/onIPLChanged_inl.h",.h,348,False,-1,False,False,0,1
"coreLib/permissions_helper_inl.h",.h,2051,False,-1,False,False,0,1
"coreLib/pte_core.h",.h,2540,False,-1,False,False,0,0
"coreLib/qt_int_aliases.h",.h,3171,False,-1,False,False,0,0
"coreLib/register_core_inl.h",.h,4485,True,5,False,False,3,3
"coreLib/smp_inline_structs.h",.h,484,False,-1,False,False,0,0
"coreLib/static_IPL_constexpr.h",.h,703,False,-1,False,False,0,0
"coreLib/static_IPR_constexpr.h",.h,1929,False,-1,False,False,0,0
"coreLib/static_PTE_constexpr.h",.h,176,False,-1,False,False,0,0
"coreLib/stdLibCore.h",.h,156,True,5,False,False,1,0
"coreLib/trace_core.h",.h,2269,False,-1,False,False,0,1
"coreLib/trace_core_inl.h",.h,396,False,-1,False,False,0,1
"coreLib/types_core.h",.h,5631,True,4,False,False,101,0
"cpuCoreLib/AlphaCPU.cpp",.cpp,8344,True,4,False,False,0,12
"cpuCoreLib/AlphaCPU.h",.h,34941,True,3,False,False,52,24
"cpuCoreLib/AlphaPipeline.h",.h,78942,True,4,False,False,3,20
"cpuCoreLib/CPURegistry.cpp",.cpp,3230,False,-1,False,False,0,3
"cpuCoreLib/CPURegistry.h",.h,1841,False,-1,False,False,1,2
"cpuCoreLib/ConsoleHaltInfo.h",.h,319,False,-1,False,False,1,1
"cpuCoreLib/ConsoleState.h",.h,2602,False,-1,False,False,0,1
"cpuCoreLib/Counter_core_inl.h",.h,316,False,-1,False,False,0,0
"cpuCoreLib/CycleCounter_inl.h",.h,333,False,-1,False,False,0,0
"cpuCoreLib/EV6_DualDTB.h",.h,13928,False,-1,False,False,0,0
"cpuCoreLib/ExecutionResult.h",.h,863,False,-1,False,False,1,1
"cpuCoreLib/FPCRRegister.h",.h,10217,False,-1,False,False,0,2
"cpuCoreLib/IExecutionContext.h",.h,571,False,-1,False,False,0,1
"cpuCoreLib/IPRDescriptor.h",.h,6599,False,-1,False,False,0,1
"cpuCoreLib/IRQ_AST_core_inl.h",.h,1441,False,-1,False,False,0,1
"cpuCoreLib/LDST_core_inl.h",.h,10508,False,-1,False,False,0,3
"cpuCoreLib/PerformanceCounterEvents_inl.h",.h,740,False,-1,False,False,0,1
"cpuCoreLib/Pipeline_inl_headers.h",.h,106,False,-1,False,False,0,1
"cpuCoreLib/Prefetch_header_inl.h",.h,312,False,-1,False,False,0,1
"cpuCoreLib/Prefetch_inl_helper.h",.h,651,False,-1,False,False,1,1
"cpuCoreLib/RedirectReason.h",.h,15337,True,6,False,False,1,1
"cpuCoreLib/ReservationManager.h",.h,5680,True,4,False,False,7,2
"cpuCoreLib/StagedPTECache.h",.h,8827,True,5,False,False,1,4
"cpuCoreLib/arithmetic_detection_checks_inl.h",.h,566,False,-1,False,False,0,0
"cpuCoreLib/barrier_hooks.h",.h,2436,False,-1,False,False,0,2
"cpuCoreLib/cache_core.h",.h,541,False,-1,False,False,0,0
"cpuCoreLib/checkPendingInterrupt_inl.h",.h,3488,False,-1,False,False,0,6
"cpuCoreLib/clearInterruptEligibilityDirty_inl.h",.h,258,False,-1,False,False,1,1
"cpuCoreLib/cpuCoreLib_global.h",.h,254,False,-1,False,False,0,0
"cpuCoreLib/cpuCore_core.h",.h,1491,True,5,False,False,1,2
"cpuCoreLib/executePTBR.h",.h,1534,False,-1,False,False,0,2
"cpuCoreLib/executeTBCHK.h",.h,4758,False,-1,False,False,0,2
"cpuCoreLib/global_ReservationManager.cpp",.cpp,1767,True,6,False,False,0,4
"cpuCoreLib/global_ReservationManager.h",.h,1334,True,5,False,False,5,0
"cpuCoreLib/global_exceptionVectorTable.h",.h,731,False,-1,False,False,0,1
"cpuCoreLib/instructionCacheControl.h",.h,37,False,-1,False,False,0,0
"cpuCoreLib/onASNModeChanged_inl.h",.h,1505,False,-1,False,False,0,4
"cpuCoreLib/onASTChanged_inl.h",.h,623,False,-1,False,False,0,1
"cpuCoreLib/onASTENChanged_inl.h",.h,233,False,-1,False,False,0,1
"cpuCoreLib/onASTSRChanged_inl.h",.h,233,False,-1,False,False,0,1
"cpuCoreLib/onCMChanged_inl.h",.h,221,False,-1,False,False,0,1
"cpuCoreLib/onDTB_PTEChanged_inl.h",.h,243,False,-1,False,False,0,1
